#
#	OGMP Gene Names Database
#
#	IMPORTANT POINTS:
#	-----------------
#	A) This file is accessed by other programs. Be careful when modifying it.
#	B) Use a very wide window to view/modify this file.
#
#	DESCRIPTION:
#	------------
#	Each field is separated a vertical bar (|). Blanks surrounding each
#	bar are ignored. There must be exactly SIX fields per line.
#
#	Fields that are unset should contain a single "-".
#
#	The first field is a list of gene names separated by "=". The first
#	name is the official (prefered) name and all others are synonyms.
#	Case is not sensitive when matching names to the list, but when programs
#	use the prefered name they will use the exact spelling mentionned there.
#
#	last update:06_03_10 ; GB: 18dec2015
#
#
#	Mitochondria encoded genes
#                          |  Product   |
# Gene names               |  Type      |  Product name                                                          |  General function                                  |  Enzyme complex           |  E.C. number
#==========================|============|========================================================================|====================================================|===========================|=================
atp1=atpA                  | protein    | ATP synthase F1 subunit alpha                                          | ox. phosphorylation                                | ATP synthase              | 3.6.3.14  
cpcG=cpcC                  | protein    | phycobilisome rod-core linker polypeptide                              | photosynthesis                                     | -                         | -         
cpeA=rpeA                  | protein    | phycoerythrin subunit a                                                | photosynthesis                                     | -                         | -         
cpeB=rpeB                  | protein    | phycoerythrin subunit b                                                | photosynthesis                                     | -                         | -         
crtE=ggps1                 | protein    | geranylgeranyl pyrophosphate synthase                                  | biosynthesis other than photosynthesis             | -                         | 2.5.1.29  
cysA=mbpX                  | protein    | sulfate ABC transporter ATP-binding subunit                            | protein translocation                              | -                         | -         
cysT=mbpY                  | protein    | sulfate ABC transporter permease subunit CysT                          | protein translocation                              | -                         | -         
cysW                       | protein    | sulfate ABC transporter permease subunit CysW                          | protein translocation                              | -                         | -         
desA                       | protein    | fatty-acid desaturase                                                  | protein degradation                                | -                         | 1.14.19.2 
dfr                        | protein    | drug sensory protein A                                                 | -                                                  | -                         | -         
DHFR-TS=DHFR               | protein    | Bifunctional dihydrofolate reductase-thymidylate synthase              | -                                                  | -                         | -         
dnaB                       | protein    | replication helicase subunit                                           | replication                                        | -                         | -         
dnaK=hsp70=ctp70           | protein    | Hsp70-type chaperone                                                   | protein folding and maturation                     | -                         | -         
dnaX                       | protein    | DNA polymerase III                                                     | replication                                        | DNA polymerase            | -         
dsbD                       | protein    | thiol:disulfide interchange protein                                    | electron transport                                 | -                         | 1.8.1.8   
fabH                       | protein    | beta-ketoacyl-acyl carrier protein synthase III                        | biosynthesis other than photosynthesis             | -                         | 2.3.1.41  
ffs                        | RNA        | chloroplast signal recognition particle RNA                            | -                                                  | -                         | -         
ftrB                       | protein    | ferredoxin thioreductase subunit b                                     | photosynthesis                                     | -                         | -         
ftsH=ycf25                 | protein    | cell division protein FTSH                                             | organelle division                                 | -                         | -         
ftsI                       | protein    | peptidoglycan synthetase                                               | organelle division                                 | -                         | -         
ftsW                       | protein    | cell division protein FTSW                                             | organelle division                                 | -                         | -         
gapC                       | protein    | glyceraldehyde-3-phosphate dehydrogenase                               | -                                                  | -                         | -         
glmS                       | protein    | glutamine-fructose-6-phosphate amidotransferase                        | biosynthesis other than photosynthesis             | -                         | 2.6.1.16  
glnB                       | protein    | nitrogen regulatory protein PII                                        | transcription                                      | -                         | -         
gltB=glsF                  | protein    | glutamate synthase                                                     | nitrogen assimilation                              | -                         | 1.4.7.1   
groL=groEL=cpn60           | protein    | 60-kDa chaperonin                                                      | protein folding and maturation                     | -                         | -         
groS=groES=cpn10           | protein    | 10 kDa chaperonin                                                      | protein                                            | -                         | -         
hemA                       | protein    | glutamyl-tRNA reductase                                                | biosynthesis other than photosynthesis             | -                         | -         
hisH                       | protein    | glutamine amidotransferase                                             | biosynthesis other than photosynthesis             | -                         | 6.3.5.2   
hlip                       | protein    | High light inducible protein                                           | -                                                  | -                         | -         
hup=hlp=hlpA=fcfC          | protein    | DNA-binding protein hu homolog                                         | translocation                                      | -                         | -         
ilvB                       | protein    | acetohydroxyacid synthetase large subunit                              | biosynthesis other than photosynthesis             | -                         | 2.2.1.6   
ilvH                       | protein    | acetohydroxyacid synthetase small subunit                              | biosynthesis other than photosynthesis             | -                         | 2.2.1.6   
infA                       | protein    | translation initiation factor 1                                        | translation                                        | -                         | -         
infB                       | protein    | translation initiation factor 2                                        | translation                                        | -                         | -         
infC                       | protein    | translation initiation factor 3                                        | translation                                        | -                         | -         
int                        | protein    | putative integrase/recombinase protein                                 | -                                                  | -                         | -         
leuC                       | protein    | 3-isopropylmalate dehydratase large subunit                            | biosynthesis other than photosynthesis             | -                         | 4.2.1.33  
leuD                       | protein    | 3-isopropylmalate dehydratase small subunit                            | biosynthesis other than photosynthesis             | -                         | 4.2.1.33  
lipB                       | protein    | lipoate-protein ligase B                                               | biosynthesis other than photosynthesis             | -                         | -         
lpxA                       | protein    | acyl-UDP-N-acetylglucosamine O-acyltransferase                         | biosynthesis other than photosynthesis             | -                         | 2.3.1.129 
lpxC                       | protein    | UDP-3-O-acyl-N-acetylglucosamine deacetylase                           | biosynthesis other than photosynthesis             | -                         | -         
lysR                       | protein    | lysR transcriptional regulator                                         | -                                                  | -                         | -         
matK=ycf14                 | protein    | intron maturase                                                        | RNA-directed DNA polymerase activity; endodeoxyribonuclear activity | -                         | -         
menA                       | protein    | 1,4-dihydroxy-2-naphthoate octaprenyltransferase                       | biosynthesis other than photosynthesis             | -                         | -         
menB                       | protein    | naphthoate synthase                                                    | biosynthesis other than photosynthesis             | -                         | 4.1.3.36  
menC                       | protein    | O-succinylbenzoate synthase                                            | biosynthesis other than photosynthesis             | -                         | -         
menD                       | protein    | 2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase         | unknown                                            | -                         | -         
menE                       | protein    | O-succinylbenzoic acid-CoA ligase                                      | biosynthesis other than photosynthesis             | -                         | 6.2.1.26  
menF                       | protein    | menaquinone-specific isochorismate synthase                            | biosynthesis other than photosynthesis             | -                         | 5.4.4.2   
minD                       | protein    | septum site-determining protein                                        | organelle division                                 | -                         | -         
minE                       | protein    | cell division topological specificity factor                           | organelle division                                 | -                         | -         
moeB=hesA=thiF             | protein    | molybdopterin biosynthesis protein                                     | biosynthesis other than photosynthesis             | -                         | -         
nadA                       | protein    | quinolinate synthetase                                                 | biosynthesis other than photosynthesis             | quinolinate synthetase complex | 4.2.3.4   
nblA=ycf18                 | protein    | phycobilisome degradation protein                                      | protein degradation                                | -                         | -         
ndhA=ndh1                  | protein    | NADH-plastoquinone oxidoreductase subunit 1                            | electron transport                                 | respiratory complex I     | 1.6.5.3   
ndhB=ndh2                  | protein    | NADH-plastoquinone oxidoreductase subunit 2                            | electron transport                                 | respiratory complex I     | 1.6.5.3   
ndhC=ndh3                  | protein    | NADH-plastoquinone oxidoreductase subunit 3                            | electron transport                                 | respiratory complex I     | 1.6.5.3   
ndhD=ndh4                  | protein    | NADH-plastoquinone oxidoreductase subunit 4                            | electron transport                                 | respiratory complex I     | 1.6.5.3   
ndhE=ndh4L                 | protein    | NADH-plastoquinone oxidoreductase subunit 4L                           | electron transport                                 | respiratory complex I     | 1.6.5.3   
ndhF=ndh5                  | protein    | NADH-plastoquinone oxidoreductase subunit 5                            | electron transport                                 | respiratory complex I     | 1.6.5.3   
ndhG=ndh6                  | protein    | NADH-plastoquinone oxidoreductase subunit 6                            | electron transport                                 | respiratory complex I     | 1.6.5.3   
ndhH                       | protein    | NADH-plastoquinone oxidoreductase subunit 7                            | electron transport                                 | respiratory complex I     | 1.6.5.3   
ndhI=frxB                  | protein    | NADH-plastoquinone oxidoreductase subunit I                            | electron transport                                 | respiratory complex I     | 1.6.5.3   
ndhJ                       | protein    | NADH-plastoquinone oxidoreductase subunit J                            | electron transport                                 | respiratory complex I     | 1.6.5.3   
ndhK=psbG                  | protein    | NADH-plastoquinone oxidoreductase subunit K                            | electron transport                                 | respiratory complex I     | 1.6.5.3   
ntcA=ycf28                 | protein    | global nitrogen transcriptional regulator                              | transcription                                      | -                         | -         
ompR=ycf27                 | protein    | probable transcriptional regulator ompR                                | transcription                                      | -                         | -         
pbsA                       | protein    | heme oxygenase                                                         | photosynthesis                                     | -                         | 1.14.99.3 
pdhA                       | protein    | pyruvate dehydrogenase E1 component, alpha subunit                     | biosynthesis other than photosynthesis             | -                         | 1.2.4.1   
pdhB                       | protein    | pyruvate dehydrogenase E1 component, beta subunit                      | biosynthesis other than photosynthesis             | -                         | 1.2.4.1   
petA                       | protein    | apocytochrome f                                                        | electron transport                                 | -                         | -         
petB                       | protein    | cytochrome b6                                                          | electron transport                                 | -                         | -         
petD                       | protein    | cytochrome b6/f complex subunit 4                                      | electron transport                                 | -                         | -         
petF                       | protein    | ferredoxin                                                             | electron transport                                 | -                         | -         
petG                       | protein    | cytochrome b6/f complex subunit 5                                      | electron transport                                 | -                         | -         
petJ                       | protein    | cytochrome c553                                                        | electron transport                                 | -                         | -         
petL=ycf7                  | protein    | cytochrome b6-f complex subunit 6                                      | electron transport                                 | -                         | -         
petM=ycf31                 | protein    | cytochrome b6-f complex subunit 7                                      | electron transport                                 | -                         | -         
petN=ycf6                  | protein    | cytochrome b6-f complex subunit 8                                      | electron transport                                 | -                         | -         
pgmA                       | protein    | phosphoglycerate mutase                                                | biosynthesis other than photosynthesis             | -                         | 2.5.1.1   
preA                       | protein    | prenyl transferase                                                     | biosynthesis other than photosynthesis             | -                         | 2.5.1.1   
psaA=psaA1                 | protein    | photosystem I P700 apoprotein A1                                       | photosynthesis                                     | -                         | -         
psaB=psaA2                 | protein    | photosystem I P700 apoprotein A2                                       | photosynthesis                                     | -                         | -         
psaC=frxA                  | protein    | photosystem I subunit VII (iron-sulfur center)                         | photosynthesis                                     | -                         | -         
psaD                       | protein    | photosystem I reaction center subunit II (ferredoxin-binding)          | photosynthesis                                     | -                         | -         
psaE                       | protein    | photosystem I reaction center subunit IV                               | photosynthesis                                     | -                         | -         
psaF                       | protein    | photosystem I reaction center subunit III (plastocyanin-binding)       | photosynthesis                                     | -                         | -         
psaI                       | protein    | photosystem I reaction center subunit VIII                             | photosynthesis                                     | -                         | -         
psaJ                       | protein    | photosystem I reaction center subunit IX                               | photosynthesis                                     | -                         | -         
psaK                       | protein    | photosystem I reaction center subunit X                                | photosynthesis                                     | -                         | -         
psaL                       | protein    | photosystem I reaction center subunit XI                               | photosynthesis                                     | -                         | -         
psaM                       | protein    | photosystem I reaction center subunit M                                | photosynthesis                                     | -                         | -         
psb28=psbW=ycf79           | protein    | photosystem II protein psb28                                           | photosynthesis                                     | -                         | -         
psbA                       | protein    | photosystem II reaction center protein D1                              | photosynthesis                                     | -                         | -         
psbB                       | protein    | photosystem II CP47 chlorophyll apoprotein                             | photosynthesis                                     | -                         | -         
psbC                       | protein    | photosystem II CP43 chlorophyll apoprotein                             | photosynthesis                                     | -                         | -         
psbD                       | protein    | photosystem II reaction center protein D2                              | photosynthesis                                     | -                         | -         
psbE                       | protein    | photosystem II cytochrome b559 alpha subunit                           | photosynthesis                                     | -                         | -         
psbF                       | protein    | photosystem II cytochrome b559 beta subunit                            | photosynthesis                                     | -                         | -         
psbH                       | protein    | photosystem II 10 kDa phosphoprotein                                   | photosynthesis                                     | -                         | -         
psbI                       | protein    | photosystem II protein I                                               | photosynthesis                                     | -                         | -         
psbJ                       | protein    | photosystem II protein J                                               | photosynthesis                                     | -                         | -         
psbK                       | protein    | photosystem II protein K                                               | photosynthesis                                     | -                         | -         
psbL                       | protein    | photosystem II protein L                                               | photosynthesis                                     | -                         | -         
psbM                       | protein    | photosystem II protein M                                               | photosynthesis                                     | -                         | -         
psbN                       | protein    | photosystem II protein N                                               | photosynthesis                                     | -                         | -         
psbT=ycf8                  | protein    | photosystem II protein T                                               | photosynthesis                                     | -                         | -         
psbV                       | protein    | photosystem II cytochrome c550                                         | photosynthesis                                     | -                         | -         
psbX                       | protein    | photosystem II protein X                                               | photosynthesis                                     | -                         | -         
psbY=ycf32                 | protein    | photosystem II protein Y                                               | photosynthesis                                     | -                         | -         
psbZ=ycf9                  | protein    | photosystem II protein Z                                               | photosynthesis                                     | -                         | -         
rbcL=rbcA                  | protein    | Rubisco large subunit                                                  | carbon dioxide fixation                            | -                         | 4.1.1.39  
rbcR=ycf30=trsE            | protein    | transcription regulator of rubisco operon                              | transcription                                      | -                         | -         
rbcS                       | protein    | Rubisco small subunit                                                  | carbon dioxide fixation                            | -                         | 4.1.1.39  
rne                        | protein    | ribonuclease E                                                         | RNA processing and degradation                     | -                         | -         
rpl23                      | protein    | ribosomal protein L23                                                  | translation                                        | ribosome                  | -         
rpl28                      | protein    | ribosomal protein L28                                                  | translation                                        | ribosome                  | -         
rpoC1                      | protein    | RNA polymerase b'-subunit                                              | transcription                                      | RNA polymerase            | 2.7.7.6   
rpoC2                      | protein    | RNA polymerase b''-subunit                                             | transcription                                      | RNA polymerase            | 2.7.7.6   
rpoZ=ycf61                 | protein    | DNA-directed RNA polymerase omega chain                                | unknown                                            | -                         | -         
rps5                       | protein    | ribosomal protein S5                                                   | translation                                        | ribosome                  | -         
rrn4.5                     | rRNA       | 4.5S rRNA                                                              | translation                                        | ribosome                  | -         
secA                       | protein    | preprotein-translocase subunit a                                       | translocation                                      | -                         | -         
secG=ycf47                 | protein    | Preprotein translocase SecG subunit                                    | -                                                  | -                         | -         
sprA                       | RNA        | small plastid RNA                                                      | -                                                  | -                         | -         
sufB=ycf24                 | protein    | sufB protein                                                           | unknown                                            | -                         | -         
sufC                       | protein    | Iron-sulfur cluster formation ABC transporter ATP-binding subunit      | -                                                  | -                         | -         
syfB                       | protein    | phenylalanine-tRNA ligase beta subunit                                 | biosynthesis other than photosynthesis             | -                         | 6.1.1.20  
syh                        | protein    | histidine-tRNA ligase                                                  | biosynthesis other than photosynthesis             | -                         | 6.1.1.21  
thdF                       | protein    | thiophen and furan oxidation protein                                   | oxidation                                          | -                         | -         
thiG                       | protein    | Thiamine biosynthesis protein G                                        | biosynthesis other than photosynthesis             | -                         | -         
thiS                       | protein    | Thiamine biosynthesis protein                                          | -                                                  | -                         | -         
tilS=ycf62                 | protein    | tRNAIle-lysidine synthetase                                            | RNA processing                                     | -                         | -         
trnA(agc)                  | tRNA       | transfer RNA Alanine                                                   | translation                                        | -                         | -         
trnE(cuc)                  | tRNA       | transfer RNA Glutamic Acid                                             | translation                                        | -                         | -         
trnX(gNc)                  | tRNA       | transfer RNA (type/anticodon unknown)                                  | translation                                        | -                         | -         
trpA                       | protein    | tryptophan synthase alpha subunit                                      | biosynthesis other than photosynthesis             | -                         | 4.2.1.20  
trpG                       | protein    | anthranilate synthase component II                                     | biosynthesis other than photosynthesis             | -                         | 4.1.3.27  
trxA                       | protein    | thioredoxin                                                            | oxidation                                          | -                         | -         
tscA                       | RNA        | psaA transplicing trans-acting factor                                  | transcription                                      | -                         | -         
tsf                        | protein    | translation elongation factor Ts                                       | translation                                        | -                         | -         
tsg1                       | protein    | His-to-Asp sensor kinase                                               | -                                                  | -                         | -         
upp                        | protein    | uracil phosphoribosyltransferase                                       | pyrimidine metabolism                              | -                         | 2.4.2.9   
ycf16                      | protein    | ABC transporter subunit                                                | unknown                                            | -                         | -         
ycf3                       | protein    | photosystem I assembly protein ycf3                                    | unknown                                            | -                         | -         
ycf4                       | protein    | photosystem I assembly protein ycf4                                    | unknown                                            | -                         | -         
ycf65                      | protein    | plastid-specific 30S ribosomal protein 3                               | unknown                                            | -                         | -         
